ACCOUNT_NO,NAME,AGE,COUNTRY,GENDER,ACCOUNT_STATUS,LAST_UPDATED_DATE,CREATED_DATE
ECOW32303010280749,Anita Garza,,Mauritania,M,Hold,2019-06-10 10:45:47,1977-07-11 12:13:35
OMMS61498337000843,Christopher Martinez,,Montserrat,F,Closed,1993-06-26 05:30:49,1975-08-17 08:16:40
LILP04376023287949,Victoria Boyer,,Burundi,M,Closed,2005-05-07 03:38:34,2022-06-21 09:51:11
YKXF83488911261595,Ernest Graves,,Georgia,M,Closed,2001-11-20 01:02:18,2018-06-04 23:54:05
PSRX24868077152085,Eric Roberts,,Suriname,F,Hold,1971-02-08 14:46:20,2010-01-25 18:07:59
ZKCL46776636944540,Beverly Bartlett,,Greece,M,Hold,1995-12-21 14:34:08,2022-05-08 04:04:16
ABYM29541624830898,Theresa Kelly,,Grenada,M,Open,1971-07-04 13:36:31,2000-09-24 09:18:40
WCVI51083072014495,Martha Delgado,,Kazakhstan,F,Open,2019-10-20 16:06:06,1977-12-11 16:52:59
ZALE15472820926622,Marvin Sanders,,Anguilla,M,Hold,2013-09-24 00:02:58,1979-05-16 10:37:46
ESEJ30993679482021,Natalie Landry,,Seychelles,M,Hold,2020-08-30 09:24:04,1998-10-08 19:28:22
MQOD47440055233476,Gina Hall,,Norway,F,Closed,1979-08-11 20:55:11,2020-04-24 05:50:26
CNCK31087540812157,Ashley Everett,,Greece,M,Closed,2002-01-08 16:59:26,2016-06-18 22:22:58
WNFQ20416490835015,Susan Rodriguez,,Bahamas,M,Open,2008-06-12 13:59:12,1991-06-28 06:51:48
THXA58894618492741,Tyler Hendricks,,Cayman Islands,F,Open,1996-03-19 08:14:15,1995-01-09 16:38:58
DVCO64152734187721,Justin Stephens,,Venezuela,F,Hold,2018-12-04 02:07:36,1996-07-30 20:21:21
DZHC59352822111210,Sarah Salas,,Costa Rica,F,Open,1987-10-07 08:11:26,1977-11-27 15:16:24
WHKJ32784050499283,Alexandra Foster,,Sao Tome and Principe,F,Open,2011-11-26 16:27:38,2004-11-15 00:31:53
BKYE61428415078635,Rodney Hoffman,,Egypt,F,Open,2009-10-11 04:23:36,1980-03-15 04:01:44
INWA21990519633854,Michael Munoz,,Sao Tome and Principe,F,Open,1974-10-24 05:24:38,1999-11-07 05:16:18
NJHJ47480802624294,Gary Wilson,,Nepal,M,Hold,2005-12-13 14:51:08,2000-07-26 07:07:21
JADE24893933972621,Melissa Wagner,,Israel,F,Open,1982-11-12 15:09:08,1972-04-25 08:26:54
ZILC25758508563278,Luis Mejia,,Samoa,M,Hold,2016-12-24 00:27:04,2009-07-18 05:24:51
GFOL25156643369339,Joseph Peterson,,Haiti,M,Closed,2020-08-31 06:47:45,2005-06-19 01:19:47
XPCA73019689007026,Michael Saunders,,Ukraine,M,Closed,2002-09-23 13:59:57,2004-12-21 16:03:10
PDNF27340175173024,Mrs. Tiffany Figueroa,,Paraguay,M,Closed,2004-10-17 05:40:32,2002-04-14 06:46:40
JTLX69572443488176,Tony Nichols,,India,F,Hold,2015-05-17 22:11:27,2001-09-25 15:24:11
KJWZ28960765892677,Andrea Miller,,Tajikistan,M,Hold,2004-12-29 18:23:28,2021-08-04 21:20:17
TZIJ83231136439554,Ashley Tate,,Montserrat,M,Closed,2021-03-18 09:37:28,2017-04-30 01:36:39
YMJH77296736598484,Deborah Berry,,Madagascar,M,Closed,2005-12-31 00:24:38,1979-12-20 09:49:45
EXQV04106902376464,Whitney Ramos,,Bosnia and Herzegovina,F,Closed,2005-03-27 10:06:35,1987-09-25 08:51:07
XKSK32143429963373,Chad Clark,,Greece,F,Open,2000-09-13 07:40:43,1980-04-23 21:20:26
DITF86808167144465,Julie Smith,,Mali,M,Open,2005-12-09 06:33:21,1973-08-26 21:17:48
QPYH18110885627133,Colleen Navarro,,Congo,F,Closed,1982-07-23 17:58:25,1986-11-28 09:40:49
IZPY90442931565122,Shannon Wheeler,,Albania,M,Closed,1996-10-05 03:53:02,1995-12-01 14:29:28
KSEG33488105267947,Paige Brown,,Slovenia,M,Hold,1970-03-28 03:23:29,1999-09-22 13:47:49
RHZE32516404127439,Tammy Hunter,,Bolivia,M,Closed,1980-03-03 18:40:53,1999-06-01 01:29:33
EMTU31602370180787,Tiffany Wyatt,,Martinique,F,Closed,1981-02-18 06:50:26,2020-08-05 12:05:55
XXZX62774010057436,Susan Guerra,,New Caledonia,F,Open,2007-09-12 00:35:07,1976-09-15 21:17:00
FUQO46238086444004,Meagan Aguilar,,Albania,F,Open,1984-03-17 21:04:32,2022-04-28 16:30:44
IDDW57590616322778,Jonathan Jones,,Timor-Leste,F,Hold,2004-02-14 22:13:13,2007-08-06 09:37:32
IVQO63939442281099,Jacqueline Johnson,,Guadeloupe,F,Closed,1981-09-13 08:53:34,2003-08-12 21:21:01
GEBV83211409663639,Stephanie Schwartz,,Tajikistan,F,Closed,1993-08-12 22:42:59,1974-02-09 10:37:13
SZCH11867257660243,Jenna Padilla,,Myanmar,F,Closed,1995-06-19 04:35:52,1982-04-16 03:30:46
DHBO14167724462973,Anna Medina,,Bolivia,M,Hold,1998-02-02 12:34:40,1971-06-23 21:17:05
IUJT58920682470614,Michael Zuniga,,Norway,F,Closed,2022-08-15 19:06:59,1998-10-05 12:39:56
IJEY12631631113648,Jennifer Simpson,,Gambia,M,Closed,1996-04-16 14:05:19,1972-06-05 21:04:08
HLED52811969509874,Gerald Lewis,,Burundi,F,Open,1976-07-18 18:44:42,1999-12-31 01:46:06
UULS47209629123466,Oscar Smith,,Spain,F,Hold,2000-03-07 18:39:25,2011-10-17 18:32:22
MUTN98718268084641,Daniel Petersen,,New Zealand,M,Hold,2019-07-21 10:27:04,2011-01-29 08:46:57
HRDH63741862139903,Aaron Salinas,,France,F,Open,1982-02-28 12:49:21,1992-10-27 08:37:20
CNBW14069882756177,Annette Ford,,Haiti,M,Hold,1985-10-02 15:43:39,1995-07-22 12:47:34
QUXD61061634676274,Michael Ellis,,Heard Island and McDonald Islands,M,Open,1991-02-17 15:38:57,2009-06-16 00:59:41
JPWJ15724083531512,Anthony Brown,,Philippines,M,Open,1987-12-16 18:24:37,1989-05-01 19:40:33
JOBJ27403548482963,Christina Hogan,,Germany,F,Open,2010-09-24 11:16:49,2006-01-15 01:41:49
CFGU61616194284354,Richard Mann,,Bahamas,F,Hold,1983-12-08 01:47:32,2019-05-14 15:06:11
GWDT68470291133880,Felicia Russell,,Ethiopia,F,Closed,2000-08-19 19:12:55,1989-02-09 00:40:56
OPOY33702664575711,Ms. Stefanie Novak,,Ethiopia,M,Hold,1986-02-14 10:23:09,1970-10-10 19:22:19
SXCQ08045441006668,Valerie Smith,,Panama,F,Open,1991-07-18 03:43:24,2012-11-23 14:39:03
SKTV18812547914566,Brittney Jenkins,,Central African Republic,M,Open,2005-12-10 00:35:03,1998-12-15 02:43:37
JSNI71375652299310,Lisa Graham,,Vietnam,F,Closed,2010-05-30 12:43:04,1987-01-16 14:33:56
SSZW19259634229235,Derek Smith,,Costa Rica,M,Hold,1982-09-19 08:43:46,2006-02-19 15:06:04
QJJI61776786473061,Christina Ellis,,Zimbabwe,F,Open,1971-07-14 21:38:53,2008-05-11 14:43:15
TPBT15701331480429,Sean Martin,,Syrian Arab Republic,F,Open,1993-01-27 04:28:46,1998-04-21 02:10:54
CEHV60129874462844,Heather Campos,,Cameroon,M,Hold,2022-02-17 03:33:15,1999-04-05 10:40:20
MMPY53045766482630,Steven Johnson,,Hong Kong,F,Closed,1994-05-01 00:53:45,1986-04-04 15:11:09
FQNR44393939881169,Paula Cervantes,,Svalbard & Jan Mayen Islands,F,Open,2020-11-10 12:11:17,1985-02-22 07:20:33
JNFP67467686589239,Jay Martin,,Colombia,F,Hold,2007-04-16 21:42:22,1972-04-26 10:58:50
ZIHB23025274095134,Jennifer Ramirez,,Zimbabwe,F,Closed,2014-04-19 06:47:02,1995-12-25 06:11:57
ZFFG48864652398604,Bethany Clark,,Morocco,M,Open,2001-01-29 08:48:41,2005-01-25 08:17:27
SNZW96497395995924,Amy Brown,,Timor-Leste,F,Closed,1983-01-02 21:37:45,2014-02-21 18:52:08
JFAR12853244855267,Alison Lozano,,Chad,F,Open,2017-08-12 21:30:57,1983-10-05 01:52:50
RTGB70145810081064,Danielle Ellis,,Somalia,M,Hold,1994-08-20 06:28:17,1978-08-30 19:20:39
FGKP43016008882385,Troy Mitchell,,Colombia,M,Hold,1976-10-02 21:31:50,1992-12-21 00:35:13
TQIK42572394172249,Henry Leach,,Bolivia,M,Closed,2011-02-08 19:13:18,1997-06-03 22:47:01
HVNA15514496439976,Janet Henderson,,Ukraine,F,Open,1982-02-26 02:59:01,2013-05-29 15:33:49
HXTS06419193882021,Tara Gordon,,Antarctica (the territory South of 60 deg S),M,Closed,2019-12-07 01:57:44,1973-11-13 19:17:24
QMAK99510647077872,Jeffery Smith,,Azerbaijan,M,Hold,2014-01-27 01:34:05,1978-11-06 04:48:16
SLTD94813134845125,Lauren Baker,,Bahamas,F,Open,1992-03-09 03:18:36,1972-08-11 22:45:59
DBCK42459529770593,Natasha Orozco,,Iraq,F,Closed,1972-08-11 02:43:27,2021-01-12 07:23:13
OAIP20021807806642,Zachary Norton,,Guam,F,Closed,2008-10-04 21:24:41,2006-04-30 18:53:04
JIUG92636905036725,Paul Edwards,,Nepal,F,Closed,1989-11-04 00:39:46,2014-10-27 23:51:00
NBEA55958670844165,Suzanne Rowland,,Tonga,M,Hold,2001-03-19 06:05:08,1991-04-28 04:37:39
QIPP40133446020037,George Newman,,Falkland Islands (Malvinas),F,Open,1980-03-11 12:00:45,1979-09-21 17:52:01
NFYV05171091767455,Teresa Pearson,,Afghanistan,F,Open,2009-07-25 20:39:59,2018-11-13 14:04:15
CYWF24882778716408,Seth Meyer,,Bahamas,F,Closed,1990-08-22 20:27:59,1992-07-07 16:57:28
KXEJ52737627879638,Brenda Armstrong,,Heard Island and McDonald Islands,M,Closed,2017-11-01 09:13:10,1981-12-21 04:59:03
WTDS60847448481336,Tyler Wagner,,Tonga,M,Hold,1983-04-24 14:11:36,1976-08-27 17:23:49
NTQI95750851013283,Megan Schultz,,Cyprus,F,Hold,1979-10-07 22:39:13,2010-05-07 03:39:43
FHTZ57290786474528,Joshua Robinson,,Palau,F,Open,1992-08-15 13:39:37,2017-09-02 19:06:20
OTPW22115055235610,Dustin Gross,,Saint Kitts and Nevis,F,Closed,1992-11-30 01:51:30,2012-08-09 21:19:58
EPRU72174145906137,Christine Mclean,,Austria,F,Closed,2019-02-05 03:07:09,2011-08-23 18:29:03
SDDU44615288321483,Miss Tabitha Smith,,Seychelles,F,Hold,2002-08-06 18:01:09,2017-02-10 11:18:25
BSEV75867835487316,Nicholas Hernandez,,Estonia,M,Hold,2013-07-12 18:02:59,1992-08-08 05:09:28
MVXD08152898806170,Douglas Williams,,Montenegro,M,Open,1995-12-20 22:48:56,2020-09-16 14:32:08
YHZK47157099801231,Francis Santiago,,New Zealand,M,Open,1977-09-01 08:59:32,1970-11-04 12:05:03
BIHO81273720076607,Ms. Carol Robinson DDS,,Sweden,M,Hold,2018-04-21 07:39:13,1987-03-13 09:08:23
LGQO68755645098688,Anthony Barajas,,Italy,M,Open,1981-01-15 06:46:52,2008-03-12 04:07:39
FILJ34214767406370,Sandra Clark,,Taiwan,M,Hold,1991-08-17 02:38:06,2019-04-20 21:58:54
KIMT19705893562354,Beth Baker,,Haiti,F,Closed,1987-01-17 14:59:57,1989-12-17 08:03:31
OXCF01279451652034,Natalie Graham,,Taiwan,F,Open,2012-03-23 10:23:38,1990-10-26 20:42:25
FQML94659244026856,John Brooks,,Cook Islands,F,Closed,1988-02-06 17:33:44,1994-03-20 09:40:28
LCKU02261301835791,Stacy Ford,,Eritrea,M,Open,1996-10-05 20:53:23,1980-10-03 10:53:29
AIOQ03666613818524,Veronica White,,United States Minor Outlying Islands,F,Hold,2014-11-24 10:39:13,1983-05-08 09:02:04
CLRR50262541447686,Michael Weaver,,Maldives,M,Closed,2011-04-01 15:51:06,2020-05-08 21:05:28
LGQM21928587499862,Elizabeth Brewer,,Malawi,M,Closed,1971-03-31 02:04:21,1993-10-11 22:58:10
QCKY18875312026519,Lisa Sanders,,Rwanda,M,Closed,1997-03-24 10:43:35,1991-07-31 22:32:28
OYNZ20543580255713,David Johnson,,Guam,F,Closed,2014-08-02 06:30:19,1974-04-03 00:28:41
VAVU73500137034774,Steven Fowler,,Trinidad and Tobago,M,Closed,2011-08-30 21:12:47,2014-08-08 11:05:15
FLTR01011468877182,Frank Owens,,Norway,M,Open,2011-05-29 17:20:07,2000-11-15 07:12:31
NHRC40573401257190,Evelyn Benitez,,Kenya,M,Closed,2017-07-16 12:18:56,1978-09-12 06:29:11
GSEB23453852481767,Erica Pena,,Myanmar,M,Closed,1982-07-13 19:21:52,1984-06-18 04:34:37
NYAT09411964062870,Gary Pugh,,United States of America,F,Closed,1989-07-10 15:45:28,2013-07-19 21:14:32
XEWQ15755757722613,Jessica Myers,,Lithuania,F,Hold,2001-07-31 08:25:50,1979-03-20 00:29:53
SXKW77620856022571,Joe Lawrence,,Colombia,F,Open,1973-04-27 15:00:15,1970-04-06 04:12:25
SZMT99854445445432,Meghan Green,,Turks and Caicos Islands,F,Hold,2001-05-29 23:43:15,1996-09-11 04:14:33
JAYU64165420950658,Gregory Kramer,,Moldova,F,Closed,1991-01-26 02:59:21,2008-12-18 13:17:00
ZZNI53817999906832,Ashlee Porter,,India,F,Hold,1991-12-28 13:59:53,1995-05-01 16:42:47
MBHV14649367883956,Tammy Palmer,,Swaziland,F,Hold,2009-04-01 08:05:41,1984-07-08 17:46:39
ZOFP16142703260623,Deborah Perez,,Guernsey,F,Open,1982-01-11 00:51:09,1972-05-20 16:08:42
PFVR11179426498267,James Booth,,Guam,F,Open,2022-04-22 10:56:55,2011-03-10 02:30:43
AZLI85420036958551,William Townsend,,Malta,F,Open,2018-05-30 23:48:19,2021-02-14 01:10:47
NOLR05951261324488,Christopher Green,,Djibouti,F,Closed,1983-01-16 13:45:33,2022-01-30 19:22:19
JSWL96380662057553,Sharon Vasquez,,Djibouti,F,Closed,2009-01-25 06:29:05,1989-09-17 03:03:06
FXZJ31224708018559,Connie Clay,,Congo,M,Open,2001-06-09 19:17:38,2013-08-29 06:13:13
CNVW68915293021536,Sara Johnson,,Australia,F,Hold,1985-12-14 13:14:16,1982-04-24 15:08:14
BHZA79741890540468,Ashley Miller,,Myanmar,F,Closed,2005-02-07 14:03:11,2008-06-03 04:33:01
GQXN88539598780675,Rebecca Lee,,Ecuador,M,Closed,2010-12-21 04:02:23,2020-01-15 21:47:54
VQIE28904561750258,Stephanie Johnson,,Nigeria,M,Open,1977-10-17 12:05:45,1988-11-24 05:30:58
OZVY17123235486224,Lynn Miller,,Saint Kitts and Nevis,F,Closed,1994-09-13 19:41:39,2016-12-25 00:26:11
RXLU23329203016982,Amber Johns,,Yemen,F,Closed,1996-01-10 21:48:16,1983-11-24 12:41:41
DRKY19222415107720,Sandra Chang,,American Samoa,M,Hold,1993-07-06 14:30:28,1983-08-15 01:56:50
WZXL27740612392721,Jacob Kelly,,Yemen,F,Open,2007-09-08 00:04:31,1986-06-16 02:33:43
PQEH50814488157728,Stephen Estrada,,Iceland,F,Open,2007-03-23 14:28:05,1988-03-01 22:38:58
WBOQ88671695151228,Brandon Howe,,Niger,M,Hold,1983-02-06 14:28:44,2019-01-26 11:36:19
MOPE56247487340223,Jennifer Beck,,El Salvador,M,Open,1996-12-20 17:05:37,1994-02-26 02:14:28
BBBN62813680968794,Sandra Jimenez,,New Zealand,M,Closed,1971-01-06 22:45:09,1984-06-18 22:26:28
ZANV61090715868487,Colleen Klein,,Gabon,M,Closed,2018-02-03 20:17:31,2006-03-16 06:16:48
MMDV50744710907811,Mitchell Boyd,,Austria,M,Open,2002-04-19 14:20:56,1980-05-01 10:13:33
RYJQ56445707224945,Lindsey Martin,,Australia,M,Open,2013-07-25 21:29:31,1977-07-14 09:17:58
VSUY82313405745144,Brad Hicks,,Togo,M,Open,1998-03-05 14:09:43,2004-04-06 18:22:52
WDZU53525931072442,Anthony Smith,,Bahamas,M,Closed,2021-06-09 13:08:12,1972-03-17 03:11:23
QYOV43184285826348,Beth Sharp,,Croatia,M,Hold,1990-02-05 02:41:32,2011-12-29 18:13:28
VOZX88040450760518,Alyssa Moore,,Guyana,F,Closed,2018-02-04 13:21:48,1980-01-23 07:49:44
JBNH46695507493966,Robert Moore,,Kiribati,F,Hold,1995-10-05 16:44:54,2011-11-06 05:56:35
ZABQ39726187090543,Nicholas Hernandez,,Sri Lanka,F,Open,2001-03-17 00:47:37,2012-02-06 15:17:29
JQSP40837164742142,William Sexton,,American Samoa,M,Closed,2000-09-19 00:08:26,2017-01-17 14:10:28
TGWR66517342672257,Sean Thomas,,Mexico,M,Closed,2006-08-22 01:20:02,1983-11-23 03:49:38
HMTI04422894860220,Manuel Wilson,,Brazil,F,Hold,1986-05-25 06:05:33,1984-05-14 15:29:16
PNSB19989013094143,Debbie Arnold,,Marshall Islands,M,Closed,1986-03-14 03:03:34,1970-04-15 09:40:08
RKOO01505603954601,Emma Cervantes,,Croatia,M,Open,1998-12-14 03:21:00,1980-09-26 08:54:28
NUHL15280358375325,Eugene Rosales,,Hungary,F,Hold,1990-08-10 08:31:56,2004-06-03 06:32:16
GRAI54752379538175,James Reynolds,,Chile,F,Hold,2014-09-12 18:39:29,1980-09-04 17:30:03
GDCX95368448912449,Alicia Thompson,,Bermuda,M,Open,1984-02-22 10:41:40,1998-11-26 14:44:51
BEHD07604125655152,Elizabeth Olsen,,Marshall Islands,M,Closed,1990-06-27 15:23:48,2014-08-17 08:04:53
THZS32810689592658,Kristin Pugh,,French Southern Territories,F,Closed,1985-10-10 13:05:39,1972-09-07 18:31:27
JZLX94337071174573,John Black,,Peru,F,Closed,1991-11-25 05:51:12,2018-11-23 20:31:42
TDBQ52298872843803,Randall Clark,,Egypt,M,Hold,1998-09-27 20:45:50,1994-04-10 21:03:46
QEZY62911171635941,Joshua Snyder,,India,F,Hold,1972-11-13 06:14:18,1996-12-27 13:31:15
RDDH67485640672432,Nicole Gutierrez,,Bosnia and Herzegovina,M,Hold,1993-07-29 08:39:00,2011-04-18 11:54:54
BHBA42989491362472,Andrea Velez,,Isle of Man,F,Hold,2010-08-10 10:03:51,2018-02-15 19:07:06
TBAV24842136601837,Renee Elliott,,Niue,F,Closed,2011-01-03 21:15:38,1977-09-04 04:53:33
URSZ51966928590372,Michelle Lopez,,Qatar,M,Open,1986-09-11 08:18:29,2011-02-27 08:35:37
CTGC89503927842306,David Dixon,,Vietnam,F,Closed,2013-07-24 16:58:44,1982-11-08 05:20:00
CWYP86666031464717,Dana Maxwell,,Colombia,F,Closed,2018-09-26 23:01:28,1971-02-14 02:09:44
PXVC05200123388137,Kristin Meyer,,Malta,F,Closed,1970-05-25 17:52:53,1979-05-17 22:59:54
XYHJ35266585811793,George Jackson,,Macao,M,Hold,2015-04-26 05:50:41,1977-06-29 20:17:14
QGJE09250582258184,Darius Lee,,Dominican Republic,F,Closed,2001-03-31 15:57:09,1977-08-21 00:11:29
KQXY33974482018214,Angela Martin,,Paraguay,F,Closed,1991-09-08 10:50:20,1971-10-18 22:27:02
LETK69928645658138,Alyssa Koch,,Norfolk Island,M,Closed,1979-08-04 19:11:21,1974-12-19 12:48:29
ZWVO76880432647363,Justin Lawrence,,Hong Kong,M,Hold,2016-10-10 11:19:54,2003-01-03 10:40:03
BRPV64349205418390,Lori Rivera,,Myanmar,F,Closed,1979-07-08 04:04:34,2012-12-30 21:05:57
XSXO97562079377839,Trevor Hawkins,,Costa Rica,M,Hold,1971-06-15 10:11:58,2008-01-06 12:07:01
OGTO42554778908657,Angela Benson,,Grenada,M,Open,1973-04-24 21:04:46,1990-11-17 11:20:41
HXNO47318108510407,Amy Brennan,,Puerto Rico,F,Open,1998-05-28 02:37:56,1993-05-12 14:43:35
XTUZ93284312201440,Jose Clark,,Swaziland,M,Hold,2018-04-29 04:32:03,1992-08-26 18:32:07
ORQA49740809262674,Luis Buchanan,,Andorra,F,Hold,2010-03-05 01:55:48,1987-09-26 08:59:04
ILNU65430422760496,Carol Jackson,,Namibia,M,Open,1974-03-23 03:06:25,1999-10-21 22:35:35
HVIK71830303982987,Shari Thompson,,Fiji,M,Hold,1997-01-18 03:17:04,1972-10-05 12:19:21
PVKG50034214048526,Joseph Hunter,,Brazil,F,Open,1987-11-13 22:22:46,2018-06-06 00:00:16
ALZG16636406354498,Christian Johnson,,Myanmar,M,Closed,2012-03-24 08:53:45,1988-02-02 02:43:26
BXAW87291364539182,Kenneth James,,Anguilla,F,Hold,1977-09-25 16:59:14,1977-07-03 19:41:06
KEOI27950061773477,Cody Anthony,,Lesotho,M,Closed,1975-03-08 16:43:08,2006-06-04 09:57:50
APMM90027725065721,Danielle Francis,,Marshall Islands,M,Hold,1991-06-13 01:10:59,1999-02-25 18:55:43
WXIP72529501114437,John Williams,,Falkland Islands (Malvinas),M,Hold,1970-09-29 20:00:11,1981-11-29 01:05:40
XVHN32684920576768,Jeffrey Everett,,Palau,M,Closed,1990-08-10 08:10:02,2018-04-14 19:06:59
NXSQ65381147873407,Joshua Lewis,,Saint Vincent and the Grenadines,M,Open,1981-01-27 14:35:48,1978-12-26 06:19:14
MGCJ60118461980712,Danielle Jimenez,,Micronesia,M,Closed,1974-07-13 06:27:49,2009-11-29 05:50:16
RHQU41580711263354,Jennifer Gray,,Moldova,M,Hold,2012-11-20 03:15:08,2008-04-24 11:48:45
SVTQ81427633073783,Christian Wallace,,Heard Island and McDonald Islands,F,Open,1989-09-27 07:14:57,1990-04-05 21:37:46
LCOV21733271639336,Kathy Jordan,,Hungary,M,Hold,2012-10-27 20:57:15,1990-09-07 02:32:16
EMGE01058091982812,Jason Roberts,,Wallis and Futuna,M,Closed,1990-08-04 10:09:41,1983-11-11 14:59:15
LCJO22158575931325,Michael Allen,,Cyprus,M,Open,1998-06-24 02:46:11,1980-08-02 11:14:37
QRSG66151920508765,Nancy Green,,Bermuda,M,Closed,2007-02-22 19:27:13,1973-04-09 18:32:04
FIMS47139512111600,Jimmy Wang,,Syrian Arab Republic,F,Open,1982-08-09 22:15:47,2021-05-10 15:10:12
YZGZ63216759947248,Brandon Franklin,,Swaziland,M,Closed,1976-10-19 13:30:18,2002-09-09 13:20:31
EUBV52880002393967,Natalie Cunningham,,Switzerland,F,Closed,1978-11-28 03:35:02,1993-09-16 06:30:29
WDXL32607823667649,Diane Kane,,San Marino,F,Hold,2005-05-06 15:15:19,1974-10-12 19:10:15
KYEX53264327108818,Michele Novak,,Grenada,F,Closed,2021-08-03 21:45:17,1991-11-12 21:59:54
ZQZR17790910278197,Frank Bennett,,Papua New Guinea,M,Hold,2007-02-23 05:03:32,2013-06-26 21:49:52
JOML05519454632333,Clayton Garcia,,Angola,M,Open,2018-04-14 07:30:16,1970-12-17 15:11:59
TKUU95254637104331,Damon Holt,,Serbia,M,Closed,1998-06-08 11:38:10,1981-09-03 09:19:52
SCTC37641358810960,Michelle Tucker,,Afghanistan,F,Hold,2013-05-26 05:53:08,2007-03-01 21:09:11
HMRG02889058280176,Lisa Baker,,Saint Kitts and Nevis,M,Open,1985-10-18 09:44:44,2016-06-06 10:02:59
CJFP32055087694112,Christopher Cross,,Heard Island and McDonald Islands,M,Hold,1976-03-15 19:27:14,1976-06-02 14:35:49
TIWG72033587828103,James Dalton,,Australia,M,Open,2004-06-25 19:52:32,1970-07-06 15:12:36
FSZL65154530081672,Mathew Cameron,,Suriname,F,Closed,2016-11-16 09:03:46,1978-12-19 09:53:49
FYZZ78146317251991,Richard Martinez,,Puerto Rico,F,Hold,2001-08-08 11:06:03,1971-03-10 12:19:48
KWQZ50943149630801,Earl Pitts,,Botswana,M,Hold,1992-04-24 22:58:41,1987-11-19 01:23:54
GIAZ62376975480650,Tyler Rice,,Peru,F,Open,1992-03-05 05:29:11,2018-09-05 10:05:58
WJIM76362427912121,Jason Bass,,Martinique,F,Closed,1992-08-10 09:03:53,1994-10-23 17:54:35
KIMH63430930461366,Julie Dunn,,Cape Verde,M,Open,2004-01-08 18:41:39,2007-11-05 05:11:34
XDBO10247665323406,David Nelson,,China,F,Hold,1989-07-07 18:27:17,1998-05-10 01:49:37
VUVO84845559037535,Kristin Velazquez,,Dominican Republic,F,Open,2020-11-02 23:33:11,1982-08-21 10:32:40
OBHW77561447272031,Erica Buck,,Nigeria,F,Open,1993-06-20 15:09:45,2021-01-17 11:32:00
GGFO77249806275575,Mrs. Michelle Romero MD,,India,M,Open,2013-01-27 18:48:24,1986-03-30 23:36:45
URTD81078847337802,David Taylor,,Czech Republic,M,Closed,1994-10-05 23:08:57,2009-08-05 13:02:33
